archivo_audio,longitud_transcripcion,n_PER,n_ORG,n_LOC,n_MISC,n_total
frase_01.wav,61,1,0,1,1,3
frase_02.wav,53,1,0,1,0,2
frase_03.wav,56,0,1,1,1,3
frase_04.wav,54,0,0,1,1,2
frase_05.wav,63,0,0,2,0,2
frase_06.wav,46,0,1,1,0,2
frase_07.wav,54,1,0,1,0,2
frase_08.wav,56,0,1,0,1,2
frase_09.wav,58,0,1,0,0,1
frase_10.wav,51,0,0,1,0,1
frase_11.wav,77,1,0,0,1,2
frase_12.wav,50,1,0,2,0,3
frase_13.wav,75,0,1,1,0,2
frase_14.wav,54,0,0,0,0,0
frase_15.wav,63,0,0,1,3,4
frase_16.wav,58,0,0,1,0,1
frase_17.wav,50,0,0,2,0,2
frase_18.wav,74,0,1,1,0,2
frase_19.wav,54,0,0,0,0,0
frase_20.wav,51,0,0,0,0,0
frase_21.wav,46,0,0,1,0,1
frase_22.wav,47,0,0,2,1,3
frase_23.wav,51,0,0,4,0,4
frase_24.wav,73,1,0,0,2,3
frase_25.wav,57,0,0,5,0,5
frase_26.wav,56,1,0,0,1,2
frase_27.wav,58,0,0,1,0,1
frase_28.wav,41,0,1,0,1,2
frase_29.wav,48,0,1,1,0,2
frase_30.wav,51,0,1,1,0,2
frase_31.wav,65,1,0,1,1,3
frase_32.wav,45,0,1,1,0,2
frase_33.wav,61,1,0,2,0,3
frase_34.wav,71,0,0,2,0,2
frase_35.wav,71,0,0,0,0,0
frase_36.wav,64,2,0,0,1,3
frase_37.wav,65,0,1,0,0,1
frase_38.wav,49,0,1,1,0,2
frase_39.wav,42,1,0,1,0,2
frase_40.wav,64,1,0,1,0,2
frase_41.wav,60,0,1,0,0,1
frase_42.wav,59,0,1,1,0,2
frase_43.wav,50,3,0,0,0,3
frase_44.wav,52,1,0,1,0,2
frase_45.wav,41,0,0,1,0,1
frase_46.wav,41,0,1,0,0,1
frase_47.wav,49,2,0,1,0,3
frase_48.wav,50,1,0,2,0,3
frase_49.wav,52,1,0,1,1,3
frase_50.wav,63,0,1,0,0,1
frase_51.wav,59,1,0,1,1,3
frase_52.wav,47,0,0,2,0,2
frase_53.wav,66,0,0,0,0,0
frase_54.wav,51,0,1,0,0,1
frase_55.wav,72,1,0,1,0,2
frase_56.wav,45,1,0,1,0,2
frase_57.wav,62,0,1,2,0,3
frase_58.wav,66,0,0,1,1,2
frase_59.wav,69,1,0,0,1,2
frase_60.wav,64,0,0,2,0,2
frase_61.wav,68,0,1,1,0,2
frase_62.wav,74,0,1,1,0,2
frase_63.wav,68,1,0,0,0,1
frase_64.wav,50,0,1,3,0,4
frase_65.wav,69,0,0,2,0,2
frase_66.wav,61,1,0,1,0,2
frase_67.wav,57,0,0,2,0,2
frase_68.wav,47,0,0,0,0,0
frase_69.wav,43,0,1,0,1,2
frase_70.wav,57,1,0,0,0,1
frase_71.wav,72,0,0,1,0,1
frase_72.wav,44,0,0,2,0,2
frase_73.wav,56,1,0,0,1,2
frase_74.wav,69,0,0,4,1,5
frase_75.wav,71,1,0,0,1,2
frase_76.wav,50,0,0,0,0,0
frase_77.wav,63,1,0,0,0,1
frase_78.wav,70,0,0,1,0,1
frase_79.wav,67,1,0,0,0,1
frase_80.wav,64,0,1,1,0,2
